No.	T	dL
220	25.08551216	-0.14388847
221	25.0649929	-0.14665604
222	24.97187424	-0.17155838
223	25.23879623	-0.15495682
224	25.19046021	-0.16879272
225	25.10199165	-0.1632576
226	25.23744202	-0.15495682
227	25.31542206	-0.18816185
228	25.03802872	-0.16049004
229	25.20505905	-0.16879272
230	25.43626404	-0.16602516
231	25.43168831	-0.15772438
232	25.34186554	-0.20199776
233	25.45405769	-0.17709351
234	25.38339043	-0.14665604
235	25.41576004	-0.13835335
236	25.2903347	-0.13558769
237	25.30491066	-0.14388847
238	25.22421837	-0.13558769
239	25.17405701	-0.17432594
240	25.26388931	-0.16049004
241	25.23148537	-0.13282013
242	25.34375572	-0.15218925
243	25.129776	-0.13282013
244	25.10467529	-0.14388847
245	25.19454765	-0.14942169
246	25.25202179	-0.14665604
247	25.13842392	-0.16049004
248	25.14299965	-0.13835335
249	25.11061287	-0.17155838
250	25.27440262	-0.18816185
251	25.16947556	-0.17155838
252	25.16809654	-0.13835335
253	25.05311966	-0.14942169
254	25.18863678	-0.13835335
255	25.10603523	-0.16879272
256	25.163517	-0.16602516
257	25.32728958	-0.17432594
258	25.2150631	-0.15218925
259	25.30355835	-0.15218925
260	25.49370766	-0.13558769
261	25.25795364	-0.14665604
262	25.20641518	-0.14388847
263	25.2077961	-0.17709351
264	25.09282875	-0.19092941
265	25.32731247	-0.19369507
266	25.13706589	-0.17155838
267	25.12519646	-0.16049004
268	25.20777512	-0.16049004
269	25.29626656	-0.18539429
270	25.22421837	-0.16879272
271	25.05903435	-0.15495682
272	25.19779778	-0.14942169
273	25.19183731	-0.14942169
274	24.93217659	-0.1632576
275	25.23286438	-0.15495682
276	25.36423874	-0.14665604
277	25.38474464	-0.14388847
278	25.37152481	-0.13005257
279	25.32135582	-0.14665604
280	25.34186554	-0.14112091
281	25.24340248	-0.17986107
282	25.36559486	-0.1632576
283	25.30355835	-0.15218925
284	25.39067459	-0.16049004
285	25.16809654	-0.14665604
286	25.09280777	-0.14665604
287	25.02666283	-0.14112091
288	25.11332512	-0.13005257
289	25.0015831	-0.14388847
290	25.19590569	-0.15218925
291	25.27710915	-0.16602516
292	25.10470009	-0.15772438
293	25.163517	-0.17709351
294	25.38014603	-0.12451935
295	25.40203476	-0.15218925
296	25.35372734	-0.14665604
297	25.22557449	-0.1632576
298	25.24337769	-0.13558769
299	25.27846718	-0.13005257
300	25.20505905	-0.13282013
301	25.3094902	-0.14665604
302	25.21961594	-0.14112091
303	25.24015427	-0.14388847
304	25.19321442	-0.16049004
305	25.20455742	-0.14112091
306	25.25202179	-0.14112091
307	25.24931145	-0.14942169
308	25.23153496	-0.15218925
309	25.08823013	-0.15218925
310	25.40525246	-0.13558769
311	25.20643997	-0.14388847
312	25.28762436	-0.14112091
313	25.09605217	-0.12451935
314	25.06632423	-0.12728691
315	25.00885201	-0.11898422
316	24.87008476	-0.11898422
317	24.87924576	-0.14665604
318	24.99562073	-0.13835335
319	25.09144783	-0.14942169
320	25.28895378	-0.13005257
321	25.26524544	-0.13835335
322	25.1653862	-0.13005257
323	25.36559486	-0.14388847
324	25.17674637	-0.12175179
325	25.38014603	-0.10238266
326	25.23286438	-0.13835335
327	25.03397942	-0.12175179
328	25.1119709	-0.14112091
329	25.11063576	-0.16879272
330	25.11194801	-0.10791588
331	24.97320938	-0.14112091
332	25.08415794	-0.13282013
333	25.02343941	-0.16879272
334	25.26984787	-0.14942169
335	25.26980019	-0.14665604
336	25.29626656	-0.15495682
337	25.24202156	-0.13005257
338	25.38471985	-0.14388847
339	25.44948196	-0.14388847
340	25.3596611	-0.14112091
341	25.35830498	-0.15772438
342	25.40525246	-0.14112091
343	25.37152481	-0.15495682
344	25.17405701	-0.13835335
345	25.04718208	-0.14388847
346	25.20775032	-0.14665604
347	25.16080475	-0.12175179
348	25.23560333	-0.12175179
349	25.22557449	-0.13005257
350	25.20643997	-0.13835335
351	25.38016891	-0.14942169
352	25.21370697	-0.13005257
353	25.25795364	-0.14942169
354	25.27846718	-0.11621857
355	25.28033447	-0.13558769
356	25.19590569	-0.14388847
357	25.26522064	-0.13282013
358	25.13842392	-0.12451935
359	25.21235085	-0.12175179
360	25.25202179	-0.11898422
361	25.38474464	-0.12451935
362	25.57164574	-0.09131432
363	25.25795364	-0.12728691
364	25.163517	-0.113451
365	25.01478958	-0.13005257
366	25.24151039	-0.12451935
367	25.2903347	-0.10515022
368	25.38339043	-0.12175179
369	25.36559486	-0.14665604
370	25.25930977	-0.13282013
371	25.34779739	-0.113451
372	25.38474464	-0.10515022
373	25.18132019	-0.11898422
374	25.11790466	-0.09408188
375	25.32135582	-0.10238266
376	25.34186554	-0.11898422
377	25.27117729	-0.13282013
378	25.2903347	-0.13005257
379	25.34779739	-0.13282013
380	25.26846695	-0.13282013
381	25.28033447	-0.11621857
382	25.25795364	-0.12451935
383	25.20319557	-0.13282013
384	25.38014603	-0.11621857
385	25.36828041	-0.12175179
386	25.4111824	-0.13282013
387	25.28895378	-0.12451935
388	25.18863678	-0.13005257
389	25.04124832	-0.12175179
390	25.07957649	-0.14665604
391	25.06041336	-0.16602516
392	25.20912743	-0.13282013
393	25.15487099	-0.15772438
394	25.1781044	-0.12728691
395	25.23422241	-0.14112091
396	25.21508789	-0.13005257
397	25.18267822	-0.12451935
398	25.15622711	-0.13005257
399	25.15489578	-0.13282013
400	25.38016891	-0.15495682
401	25.42304802	-0.14388847
402	25.39796448	-0.13558769
403	25.26982307	-0.13282013
404	25.24066734	-0.15495682
405	25.22099686	-0.13835335
406	25.23744202	-0.13835335
407	25.13706589	-0.14665604
408	25.1457386	-0.13558769
409	25.41576004	-0.12451935
410	25.22693062	-0.13835335
411	25.29491043	-0.12728691
412	25.23879623	-0.15495682
413	25.27846718	-0.14942169
414	25.25659752	-0.12451935
415	25.10010147	-0.13282013
416	25.16216087	-0.14665604
417	25.14435768	-0.13282013
418	25.27117729	-0.13835335
419	25.40522766	-0.13835335
420	25.34779739	-0.15495682
421	25.39798737	-0.14112091
422	25.42440033	-0.13005257
423	25.22557449	-0.113451
424	25.22557449	-0.12728691
425	25.37152481	-0.12728691
426	25.37881088	-0.12728691
427	25.29626656	-0.11898422
428	25.43493462	-0.10515022
429	25.37881088	-0.12451935
430	25.37745857	-0.1632576
431	25.34915161	-0.14665604
432	25.35237122	-0.12451935
433	25.28762436	-0.11898422
434	25.34050751	-0.13558769
435	25.42302322	-0.14388847
436	25.23286438	-0.14388847
437	25.38474464	-0.15495682
438	25.33002472	-0.15218925
439	25.35375214	-0.15218925
440	25.13839912	-0.16602516
441	25.18997002	-0.16049004
442	25.27575493	-0.15772438
443	25.24015427	-0.16602516
444	25.1708107	-0.16879272
445	25.18590164	-0.14112091
446	25.26660156	-0.13558769
447	25.33915329	-0.13005257
448	25.29762459	-0.12175179
449	25.24608994	-0.14665604
450	25.38474464	-0.15495682
451	25.3094902	-0.13835335
452	25.27575493	-0.16602516
453	25.23744202	-0.17155838
454	25.24015427	-0.15218925
455	25.22286224	-0.15495682
456	25.19452286	-0.14942169
457	25.02937508	-0.13282013
458	25.15031624	-0.14388847
459	25.07499886	-0.14112091
460	25.01478958	-0.14942169
461	25.20505905	-0.10515022
462	25.12519646	-0.10791588
463	25.25202179	-0.13558769
464	25.24608994	-0.13558769
465	25.21370697	-0.15218925
466	25.30813408	-0.13005257
467	25.23879623	-0.15495682
468	25.19726181	-0.13282013
469	25.58485985	-0.11621857
470	25.52604485	-0.13282013
471	25.41573524	-0.12451935
472	25.43438148	-0.14665604
473	25.21828461	-0.13005257
474	25.18403816	-0.12728691
475	25.32135582	-0.12175179
476	25.17674637	-0.113451
477	25.31949425	-0.13282013
478	25.27253532	-0.14942169
479	25.163517	-0.09131432
480	25.26982307	-0.14112091
481	25.30813408	-0.11068344
482	25.29491043	-0.11621857
483	25.34050751	-0.13005257
484	25.33457375	-0.12451935
485	25.40254021	-0.12175179
486	25.40660858	-0.10515022
487	25.53199959	-0.10515022
488	25.37745857	-0.12728691
489	25.1192627	-0.15218925
490	25.19726181	-0.12175179
491	25.17405701	-0.12451935
492	25.27253532	-0.12451935
493	25.30810928	-0.10515022
494	25.12383842	-0.13835335
495	25.21828461	-0.113451
496	25.13571167	-0.13282013
497	25.40389633	-0.14665604
498	25.38474464	-0.15495682
499	25.31544495	-0.15218925
500	25.28762436	-0.16049004
501	25.23879623	-0.13558769
502	25.25797844	-0.17432594
503	25.20641518	-0.14388847
504	25.27846718	-0.11898422
505	25.28440285	-0.11068344
506	25.25659752	-0.11621857
507	25.18725586	-0.11068344
508	25.45083618	-0.11621857
509	25.27661324	-0.12451935
510	25.37152481	-0.11898422
511	25.14435768	-0.14665604
512	25.12383842	-0.14112091
513	24.96458054	-0.11621857
514	24.92895889	-0.14665604
515	25.10331917	-0.13005257
516	25.4111824	-0.12175179
517	25.26253319	-0.13005257
518	25.3372879	-0.13835335
519	25.36237335	-0.13005257
520	25.43626404	-0.12175179
521	25.34644127	-0.12175179
522	25.49370766	-0.13835335
523	25.43948746	-0.0996151
524	25.37287903	-0.13005257
525	25.30220032	-0.12175179
526	25.33915329	-0.12451935
527	25.26980019	-0.14112091
528	25.29355812	-0.14112091
529	25.26846695	-0.14112091
530	25.19454765	-0.14388847
531	25.29626656	-0.09408188
532	25.30810928	-0.13282013
533	25.15029526	-0.11068344
534	25.07361794	-0.12728691
535	25.00291634	-0.12451935
536	25.18725586	-0.11621857
537	25.10603523	-0.12728691
538	25.06041336	-0.13835335
539	25.22557449	-0.14112091
540	25.15487099	-0.12451935
541	25.15622711	-0.12451935
542	25.28304291	-0.15218925
543	25.16809654	-0.14665604
544	25.25522232	-0.1632576
545	25.27713394	-0.11621857
546	25.38339043	-0.12451935
547	25.45405769	-0.11898422
548	25.24744415	-0.13558769
549	25.04447365	-0.113451
550	24.93082047	-0.12728691
551	25.02341461	-0.10791588
552	25.13842392	-0.1632576
553	25.14435768	-0.13835335
554	25.08280373	-0.14388847
555	25.09738541	-0.10238266
556	25.06772995	-0.13558769
557	25.36101723	-0.13282013
558	25.36423874	-0.13282013
559	25.29304886	-0.12728691
560	25.38014603	-0.12175179
561	25.34779739	-0.12728691
562	25.33321953	-0.14665604
563	25.31406593	-0.11068344
564	25.18861389	-0.13835335
565	25.27710915	-0.10791588
566	25.29491043	-0.14665604
567	24.99700165	-0.12728691
568	25.00885201	-0.11621857
569	25.04720688	-0.08854675
570	25.05174255	-0.13558769
571	25.05905724	-0.10515022
572	25.0161705	-0.12451935
573	25.14893532	-0.11621857
574	25.11790466	-0.13835335
575	25.07957649	-0.12175179
576	25.19454765	-0.14388847
577	25.3596611	-0.12451935
578	25.36557007	-0.14665604
579	25.16809654	-0.12175179
580	25.21237564	-0.15218925
581	25.29304886	-0.14942169
582	25.28900146	-0.13835335
583	25.3596611	-0.13835335
584	25.32406616	-0.13282013
585	25.40392113	-0.12175179
586	25.4011879	-0.15218925
587	25.37287903	-0.10791588
588	25.41711617	-0.14388847
589	25.31356049	-0.12451935
590	25.39338875	-0.11898422
591	25.24015427	-0.12451935
592	25.28626823	-0.14942169
593	25.29626656	-0.13005257
594	25.26846695	-0.14942169
595	25.31864357	-0.10238266
596	25.129776	-0.15218925
597	25.20370674	-0.14112091
598	25.27575493	-0.14112091
599	25.13573647	-0.13835335
600	24.96322441	-0.13558769
601	25.13113213	-0.11898422
602	25.20912743	-0.14942169
603	25.25659752	-0.11898422
604	25.06177139	-0.16049004
605	25.21370697	-0.14112091
606	25.32135582	-0.14665604
607	25.15300941	-0.13282013
608	25.28304291	-0.14665604
609	25.37287903	-0.13282013
610	25.28304291	-0.14388847
611	25.16216087	-0.13282013
612	25.26388931	-0.11068344
613	25.31081963	-0.12728691
614	25.28304291	-0.15772438
615	25.30220032	-0.13282013
616	25.42304802	-0.16049004
617	25.30677795	-0.13005257
618	25.17538643	-0.15218925
619	25.08823013	-0.13005257
620	25.19183731	-0.14665604
621	25.25982475	-0.14388847
622	25.34779739	-0.13835335
623	25.22421837	-0.12175179
624	25.34508705	-0.15772438
625	25.26388931	-0.11898422
626	25.31864357	-0.15495682
627	25.44355202	-0.12175179
628	25.49693108	-0.16049004
629	25.37423706	-0.13558769
630	25.38016891	-0.15495682
631	25.49235344	-0.14388847
632	25.53470993	-0.13558769
633	25.18132019	-0.13558769
634	25.22235489	-0.15772438
635	25.15216064	-0.11621857
636	25.22286224	-0.15218925
637	25.24337769	-0.14112091
638	25.15489578	-0.15772438
639	25.19454765	-0.13558769
640	25.13113213	-0.18816185
641	24.98510742	-0.13282013
642	25.16213799	-0.15772438
643	25.17538643	-0.14665604
644	25.05770302	-0.16049004
645	25.05770302	-0.14388847
646	25.07822227	-0.17155838
647	24.97187424	-0.13005257
648	25.15947723	-0.14942169
649	25.11194801	-0.11068344
650	25.19774818	-0.14665604
651	25.34186554	-0.12451935
652	25.36423874	-0.15495682
653	25.2447319	-0.13005257
654	25.07957649	-0.14388847
655	25.08093643	-0.15495682
656	25.15351677	-0.16602516
657	25.0544796	-0.12728691
658	25.19321442	-0.16049004
659	25.20641518	-0.12728691
660	25.16487694	-0.16049004
661	25.46269798	-0.14112091
662	25.32731247	-0.14388847
663	25.1781044	-0.13005257
664	25.06634903	-0.16049004
665	25.05583382	-0.13558769
666	25.30220032	-0.15772438
667	25.25337791	-0.13835335
668	25.41576004	-0.17709351
669	25.38474464	-0.13005257
670	25.36559486	-0.15495682
671	25.33457375	-0.14388847
672	25.21099472	-0.16602516
673	25.08551216	-0.14112091
674	25.20048141	-0.13282013
675	24.98374748	-0.12728691
676	24.92030334	-0.15218925
677	24.94676971	-0.12175179
678	24.86145401	-0.1632576
679	25.02937508	-0.13282013
680	25.04854202	-0.16879272
681	25.09874153	-0.14665604
682	25.18861389	-0.14665604
683	25.163517	-0.13282013
684	25.33321953	-0.13282013
685	25.18725586	-0.13835335
686	25.22557449	-0.14942169
687	25.22421837	-0.10791588
688	25.11790466	-0.15495682
689	25.163517	-0.14665604
690	25.163517	-0.16879272
691	24.95134735	-0.14388847
692	25.04582787	-0.15772438
693	25.09874153	-0.1632576
694	25.13893509	-0.13558769
695	25.10467529	-0.16049004
696	25.16080475	-0.14665604
697	25.12519646	-0.13282013
698	25.06041336	-0.16602516
699	25.09280777	-0.12728691
700	25.42897797	-0.14112091
701	25.50692368	-0.14665604
702	25.40525246	-0.13835335
703	25.38016891	-0.16602516
704	25.3094902	-0.15495682
705	25.4659214	-0.14112091
706	25.46998596	-0.14942169
707	25.4111824	-0.11898422
708	25.43168831	-0.13835335
709	25.22237968	-0.11898422
710	25.2816906	-0.14112091
711	25.17996597	-0.12451935
712	25.29626656	-0.15772438
713	25.33731079	-0.14665604
714	25.27710915	-0.14665604
715	25.31677628	-0.12175179
716	25.23286438	-0.14388847
717	25.1224823	-0.11621857
718	25.1708107	-0.13835335
719	25.3806839	-0.11068344
720	25.23153496	-0.15495682
721	25.37287903	-0.12728691
722	25.3820591	-0.12728691
723	25.22421837	-0.12728691
724	25.10467529	-0.13282013
725	25.09738541	-0.10791588
726	25.01614761	-0.11068344
727	25.14435768	-0.12728691
728	25.25933456	-0.14665604
729	25.21370697	-0.11068344
730	25.29626656	-0.12451935
731	25.19454765	-0.12451935
732	25.25793076	-0.15218925
733	25.19454765	-0.14388847
734	25.32726479	-0.13835335
735	25.19777298	-0.13558769
736	25.27846718	-0.13005257
737	25.33186722	-0.13558769
738	25.32999992	-0.113451
739	25.15027046	-0.10791588
740	25.1192627	-0.13835335
741	25.27575493	-0.12451935
742	25.25069046	-0.13558769
743	25.1224823	-0.12728691
744	25.20777512	-0.12451935
745	25.12383842	-0.11898422
746	25.39203072	-0.14112091
747	25.36694717	-0.12728691
748	25.29762459	-0.12451935
749	25.15758514	-0.11068344
750	25.05311966	-0.16879272
751	25.26524544	-0.13282013
752	25.30355835	-0.11898422
753	25.33593178	-0.13558769
754	25.31677628	-0.14388847
755	25.31084633	-0.13835335
756	25.18132019	-0.14388847
757	24.94812775	-0.13558769
758	25.28304291	-0.11621857
759	25.20183945	-0.12451935
760	25.14893532	-0.13282013
761	25.24015427	-0.13282013
762	25.2447319	-0.14388847
763	25.32273293	-0.14942169
764	25.34779739	-0.11621857
765	25.2077961	-0.13558769
766	25.29762459	-0.12728691
767	25.38474464	-0.113451
768	25.18132019	-0.13282013
769	25.06770515	-0.0996151
770	25.21370697	-0.09684753
771	25.24066734	-0.12175179
772	25.24608994	-0.15218925
773	25.31542206	-0.14388847
774	25.39796448	-0.12728691
775	25.39934349	-0.13835335
776	25.34644127	-0.12728691
777	25.18997002	-0.11898422
778	25.23286438	-0.11898422
779	25.12245941	-0.11621857
780	25.20183945	-0.13005257
781	25.21961594	-0.12175179
782	25.22557449	-0.0996151
783	25.3094902	-0.11621857
784	25.3094902	-0.13558769
785	25.31542206	-0.14942169
786	25.5114994	-0.13282013
787	25.27575493	-0.12451935
788	25.39796448	-0.15772438
789	25.34966469	-0.12451935
790	25.24015427	-0.14665604
791	25.14893532	-0.13282013
792	25.17996597	-0.15218925
793	25.19590569	-0.13005257
794	25.01750183	-0.12175179
795	25.27253532	-0.12451935
796	25.29624176	-0.12175179
797	25.30084419	-0.14112091
798	25.20048141	-0.11898422
799	25.23286438	-0.15772438
800	25.27980232	-0.16049004
801	25.49961662	-0.13558769
802	25.59671783	-0.14388847
803	25.3755703	-0.15495682
804	25.30357933	-0.13835335
805	25.31542206	-0.14388847
806	25.32728958	-0.113451
807	25.26982307	-0.15772438
808	25.21964073	-0.14388847
809	25.39338875	-0.16049004
810	25.42897797	-0.13558769
811	25.34186554	-0.13005257
812	25.33321953	-0.12175179
813	25.32322693	-0.12175179
814	25.41578293	-0.14388847
815	25.32728958	-0.13005257
816	25.19590569	-0.13005257
817	25.21964073	-0.14112091
818	25.25202179	-0.15495682
819	25.21370697	-0.12728691
820	25.2077961	-0.14112091
821	25.21828461	-0.13282013
822	25.18725586	-0.13558769
823	25.25066566	-0.12728691
824	25.36561775	-0.12175179
825	25.35508347	-0.11621857
826	25.2903347	-0.12451935
827	25.3094902	-0.13558769
828	25.41849327	-0.11621857
829	25.40982628	-0.14112091
830	25.46727562	-0.13835335
831	25.43302155	-0.13005257
832	25.23879623	-0.14112091
833	25.30084419	-0.13835335
834	25.22557449	-0.16049004
835	25.26982307	-0.14665604
836	25.29166603	-0.12175179
837	25.45998955	-0.16049004
838	25.3874588	-0.13835335
839	25.22690773	-0.14665604
840	25.17405701	-0.13558769
841	25.11332512	-0.13282013
842	25.27710915	-0.113451
843	25.0398941	-0.11898422
844	25.07824707	-0.14112091
845	25.21964073	-0.15495682
846	25.14299965	-0.14112091
847	25.25795364	-0.14942169
848	25.19183731	-0.15218925
849	25.35372734	-0.1632576
850	25.39929771	-0.14112091
851	25.37881088	-0.14112091
852	25.38474464	-0.14942169
853	25.42307091	-0.12728691
854	25.18132019	-0.13558769
855	25.20505905	-0.12175179
856	25.26253319	-0.11898422
857	25.38339043	-0.13835335
858	25.22693062	-0.14112091
859	25.3094902	-0.15218925
860	25.31542206	-0.14112091
861	25.36101723	-0.16049004
862	25.27710915	-0.13835335
863	25.26388931	-0.13005257
864	25.30353355	-0.14388847
865	25.16216087	-0.113451
866	25.27437782	-0.16049004
867	25.37152481	-0.14112091
868	25.47320747	-0.13558769
869	25.25930977	-0.17709351
870	25.35102081	-0.13282013
871	25.41253853	-0.14112091
872	25.32271004	-0.13005257
873	25.27710915	-0.12451935
874	25.30813408	-0.13835335
875	25.33321953	-0.113451
876	25.36694717	-0.15772438
877	25.25069046	-0.16879272
878	25.25473595	-0.13282013
879	25.34186554	-0.16049004
880	25.23015404	-0.13558769
881	25.17996597	-0.14665604
882	25.3094902	-0.13282013
883	25.23422241	-0.13282013
884	25.21235085	-0.16049004
885	25.02070236	-0.12728691
886	25.02801895	-0.14665604
887	25.21370697	-0.14388847
888	25.1224823	-0.15495682
889	25.28575706	-0.13558769
890	25.34779739	-0.15495682
891	25.3874588	-0.15772438
892	25.18725586	-0.13558769
893	24.99104309	-0.13558769
894	25.06041336	-0.14942169
895	25.10467529	-0.13558769
896	25.10467529	-0.14942169
897	25.07228661	-0.14112091
898	25.16216087	-0.12728691
899	25.28304291	-0.15772438
900	25.33321953	-0.13835335
901	25.09280777	-0.12728691
902	25.33779716	-0.113451
903	25.20641518	-0.12451935
904	25.15487099	-0.113451
905	25.12381554	-0.13835335
906	25.21237564	-0.14942169
907	25.18132019	-0.13558769
908	25.1708107	-0.12728691
909	25.04124832	-0.13005257
910	25.28900146	-0.14112091
911	25.33186722	-0.14388847
912	25.16674042	-0.14112091
913	25.36694717	-0.14665604
914	25.5082798	-0.14665604
915	25.6072216	-0.12728691
916	25.39660835	-0.15495682
917	25.30086708	-0.14112091
918	25.23744202	-0.11898422
919	25.30220032	-0.14665604
920	25.24611092	-0.12728691
921	25.40982628	-0.13558769
922	25.25202179	-0.13558769
923	25.18997002	-0.13282013
924	25.31864357	-0.12728691
925	25.2639122	-0.13005257
926	25.28626823	-0.14112091
927	25.30355835	-0.13558769
928	25.17996597	-0.12451935
929	25.23148537	-0.12451935
930	25.31271172	-0.113451
931	25.30357933	-0.14665604
932	25.19912529	-0.14388847
933	25.09144783	-0.14665604
934	25.00291634	-0.14665604
